date;S03;S04
16/05/2023 11:45;0,8;-1,6
16/05/2023 11:50;0,7;-1
16/05/2023 11:55;1,1;-1,2
16/05/2023 12:00;1;0,7
16/05/2023 12:05;0,1;-2,5
16/05/2023 12:10;1,1;0,6
16/05/2023 12:15;1,5;0,5
16/05/2023 12:20;0,2;-1,8
16/05/2023 12:25;0,4;-1,4
16/05/2023 12:30;1,3;0,8
16/05/2023 12:35;1,2;-0,7
16/05/2023 12:40;1,1;0,4
16/05/2023 12:45;1,4;0,3
16/05/2023 12:50;1,5;-1,4
16/05/2023 12:55;1,1;0,2
16/05/2023 13:00;0,5;-2
16/05/2023 13:05;1,3;0,5
16/05/2023 13:10;1,4;-0,8
16/05/2023 13:15;0,7;-0,2
16/05/2023 13:20;1,1;-0,5
16/05/2023 13:25;-0,7;-3
16/05/2023 13:30;0,7;0,4
16/05/2023 13:35;1,5;0,9
16/05/2023 13:40;0,8;-1,9
16/05/2023 13:45;1,1;0,5
16/05/2023 13:50;1,2;-0,8
16/05/2023 13:55;1,1;-0,8
16/05/2023 14:00;1,7;1
16/05/2023 14:05;0,8;-1,5
16/05/2023 14:10;1,3;0,7
16/05/2023 14:15;1;-1,6
16/05/2023 14:20;0,2;-1,4
16/05/2023 14:30;0,7;-0,8
16/05/2023 14:35;0,7;-0,5
16/05/2023 14:40;1,1;-0,2
16/05/2023 14:45;1,4;-1,2
16/05/2023 14:50;1,2;-0,9
16/05/2023 14:55;0,5;-2
16/05/2023 15:00;1,1;-0,3
16/05/2023 15:05;1,5;0,4
16/05/2023 15:10;1,9;0,6
16/05/2023 15:15;0,9;-1,9
16/05/2023 15:20;1,4;0,1
16/05/2023 15:25;2;1,1
16/05/2023 15:30;1,3;-1,5
16/05/2023 15:35;1,7;-0,1
16/05/2023 15:40;2,1;1,1
16/05/2023 15:45;1,1;-1,4
16/05/2023 15:50;1,6;0,2
16/05/2023 15:55;1,8;0,6
16/05/2023 16:00;1,2;-1,5
16/05/2023 16:05;1,7;0,5
16/05/2023 16:10;2;1,2
16/05/2023 16:15;2,3;1,5
16/05/2023 16:20;2,6;1,8
16/05/2023 16:25;3;2,2
16/05/2023 16:30;3,3;3,5
16/05/2023 16:35;4,2;4,4
16/05/2023 16:40;4,5;4,9
16/05/2023 16:45;4,8;5,2
16/05/2023 16:50;4;2
16/05/2023 16:55;1;-1,1
16/05/2023 17:00;0;-1,9
16/05/2023 17:05;0,5;-0,9
16/05/2023 17:10;0,7;-0,8
16/05/2023 17:15;1,5;0,4
16/05/2023 17:20;0,7;-0,9
16/05/2023 17:25;0,8;0
16/05/2023 17:30;1,5;0,4
16/05/2023 17:35;0,8;0,2
16/05/2023 17:40;0,4;-1,3
16/05/2023 17:45;-0,2;-2,2
16/05/2023 17:50;0,7;-0,6
16/05/2023 17:55;1,4;1,2
16/05/2023 18:00;0,9;-0,6
16/05/2023 18:05;0,1;-1,4
16/05/2023 18:10;0,4;-0,8
16/05/2023 18:15;0,4;-1,6
16/05/2023 18:20;1,2;0,4
16/05/2023 18:25;0,1;-1,6
16/05/2023 18:30;0,4;-1,4
16/05/2023 18:35;1,3;1,1
16/05/2023 18:40;1,4;0
16/05/2023 18:45;0,2;-1,4
16/05/2023 18:50;1,1;0
16/05/2023 18:55;1,3;-0,5
16/05/2023 19:00;1;-1,3
16/05/2023 19:05;0,8;-1,1
16/05/2023 19:10;1;0,3
16/05/2023 19:15;1,4;0,8
16/05/2023 19:20;1,5;-0,3
16/05/2023 19:25;0,3;-1,3
16/05/2023 19:30;0,7;-0,4
16/05/2023 19:35;1,4;0
16/05/2023 19:40;1,2;-2
16/05/2023 19:45;1,5;-1,3
16/05/2023 19:50;-0,1;-2,1
16/05/2023 19:55;1,2;0,3
16/05/2023 20:00;1,6;-1,3
16/05/2023 20:05;0,8;-1,4
16/05/2023 20:10;1,1;-0,7
16/05/2023 20:15;1,4;0,4
16/05/2023 20:20;1,5;-0,9
16/05/2023 20:25;1,2;-0,1
16/05/2023 20:30;1,7;1
16/05/2023 20:35;-0,1;-2,7
16/05/2023 20:40;0,4;-1,8
16/05/2023 20:45;1,3;1
16/05/2023 20:50;0,4;-2,2
16/05/2023 20:55;1,1;-0,6
16/05/2023 21:00;1,4;-0,1
16/05/2023 21:05;1,7;-0,1
